Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$18.51,-0.15,-0.804%,3049920854.00,United States,1985,637303,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Aurora Cannabis Inc. Common Shares,$3.74,-0.10,-2.604%,203977266.00,Canada,,1704352,Health Care, Medicinal Chemicals and Botanical Products 
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,$12.23,0.11,0.908%,46346160.00,Hong Kong,2021,6711,Consumer Discretionary,Catalog/Specialty Distribution
ACCD,Accolade Inc. Common Stock,$9.75,-0.08,-0.814%,754724168.00,United States,2020,209145,Consumer Discretionary,Business Services
ACCO,Acco Brands Corporation Common Stock,$5.70,0.03,0.529%,541091424.00,United States,,237348,Consumer Discretionary,Publishing
ACDC,ProFrac Holding Corp. Class A Common Stock,$8.275,0.065,0.792%,1320641939.00,United States,2022,253273,Energy,Oilfield Services/Equipment
ACEL,Accel Entertainment Inc. ,$11.915,-0.015,-0.126%,998518631.00,United States,2017,144916,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACET,Adicet Bio Inc. Common Stock ,$2.125,-0.015,-0.701%,174577216.00,United States,2018,822747,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,$91.045,-1.185,-1.285%,34064597370.00,Bermuda,,893017,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,$20.7225,0.0625,0.303%,7753348553.00,Bermuda,,26422,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$23.78,0.18,0.763%,8897315893.00,Bermuda,,5754,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,$75.61,-1.50,-1.945%,6977976431.00,United States,,468600,Health Care,Medical Specialities
ACHL,Achilles Therapeutics plc American Depositary Shares,$1.2641,-0.0259,-2.008%,51743060.00,United Kingdom,2021,84304,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,$5.17,0.11,2.174%,1605671644.00,United States,2020,3485669,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,$4.60,-0.06,-1.288%,97362496.00,United States,,44423,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,$20.96,-0.03,-0.143%,12073795591.00,United States,2020,729145,Consumer Staples,Food Chains
ACIC,American Coastal Insurance Corporation Common Stock,$10.875,0.325,3.081%,519819182.00,United States,,63888,Finance,Property-Casualty Insurers
ACIU,AC Immune SA Common Stock,$3.21,-0.045,-1.382%,318425031.00,Switzerland,2016,98487,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,$32.66,0.51,1.586%,3475439305.00,United States,,101100,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,$116.38,3.31,2.927%,3796985949.00,United States,2000,303081,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,$73.19,-0.30,-0.408%,3864184471.00,United States,2022,130243,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,$98.035,2.425,2.536%,13335063921.00,United States,2007,372507,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,$30.7299,1.5099,5.167%,1877443732.00,United States,2017,1389057,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),$346.02,-34.42,-9.047%,230736513832.00,Ireland,2001,6234155,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,$36.50,0.42,1.164%,310443852.00,United States,,7626,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,$10.60,-0.08,-0.749%,107330650.00,United States,,4670,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,$0.369,0.0031,0.847%,202789.00,United States,2022,226539,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,$0.0409,0.0034,9.067%,22477.00,United States,2022,6000,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,$12.50,0.00,0.00%,15526225.00,United States,2006,932,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,$6.8488,-0.0412,-0.598%,0.00,United States,2011,222917,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,$23.99,-0.0393,-0.164%,,United States,,2117,,
ACR,ACRES Commercial Realty Corp. Common Stock,$13.845,0.485,3.63%,107276501.00,United States,,21074,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,$24.5999,0.2799,1.151%,,United States,,30931,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,$22.71,0.01,0.044%,,United States,,5250,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,$7.79,0.03,0.387%,423952155.00,United States,2012,230802,Real Estate,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,$1.17,-0.02,-1.681%,82982299.00,United States,2015,622678,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,$6.59,0.30,4.769%,146260483.00,United States,2022,41398,Health Care, Medicinal Chemicals and Botanical Products 
ACST,Acasti Pharma Inc. Class A Common Stock,$3.41,0.01,0.294%,32051968.00,Canada,,15955,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,$30.53,0.07,0.23%,4857590412.00,United States,2021,64251,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$5.22,0.05,0.967%,521454369.00,United States,,216862,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,$41.81,0.41,0.99%,152405812.00,United States,1988,17980,Consumer Discretionary,Industrial Machinery/Components
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$23.60,0.01,0.042%,244565714.00,United States,2015,32483,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,$19.13,0.22,1.163%,3135245409.00,United States,2021,1115382,Consumer Discretionary,Business Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,$2.045,-0.065,-3.081%,32223274.00,United States,2021,143446,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,$2.64,-0.21,-7.368%,114186777.00,China,2021,9773,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$1.3525,0.0225,1.692%,333830915.00,United Kingdom,2015,760073,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,$508.125,-11.015,-2.122%,229672500000.00,United States,1986,2947004,Technology,Computer Software: Prepackaged Software
